#;Stimul;Goal;Color;Place;Size;Duration;Interval;Show;Hide;;Down;Up;;SMR;MR;;ERR_1;ERR_2;ERR_3
0;10;0;1;1;1;300;2000;3006;3308;;;;;;;;0;0;0
1;3;0;1;1;1;300;2000;5009;5325;;;;;;;;0;0;0
2;10;0;1;1;1;300;2000;7017;7324;;;;;;;;0;0;0
3;4;0;1;1;1;300;2000;9031;9341;;;;;;;;0;0;0
4;5;1;1;1;1;300;2000;11034;11341;;11431;11551;;517;120;;0;0;0
5;6;0;1;1;1;300;2000;13049;13358;;;;;;;;0;0;0
6;6;0;1;1;1;300;2000;15053;15358;;;;;;;;0;0;0
7;9;1;1;1;1;300;2000;17067;17375;;17466;17586;;519;120;;0;0;0
8;10;0;1;1;1;300;2000;19082;19390;;;;;;;;0;0;0
9;4;0;1;1;1;300;2000;21083;21390;;21403;21547;;464;144;;0;0;1
10;1;1;1;1;1;300;2000;23099;23407;;23452;23540;;441;88;;0;0;0
11;2;1;1;1;1;300;2000;25100;25407;;;;;;;;1;0;0
12;9;1;1;1;1;300;2000;27115;27424;;;;;;;;1;0;0
13;10;0;1;1;1;300;2000;29117;29424;;;;;;;;0;0;0
14;8;0;1;1;1;300;2000;31132;31440;;;;;;;;0;0;0
15;8;0;1;1;1;300;2000;33148;33457;;;;;;;;0;0;0
16;7;1;1;1;1;300;2000;35149;35457;;35443;35555;;406;112;;0;0;0
17;1;1;1;1;1;300;2000;37153;37463;;37476;37572;;419;96;;0;0;0
18;5;1;1;1;1;300;2000;39164;39474;;39525;39597;;433;72;;0;0;0
19;4;0;1;1;1;300;2000;41166;41474;;;;;;;;0;0;0
20;6;0;1;1;1;300;2000;43169;43480;;;;;;;;0;0;0
21;8;0;1;1;1;300;2000;45181;45491;;;;;;;;0;0;0
22;7;1;1;1;1;300;2000;47183;47495;;47473;47577;;394;104;;0;0;0
23;8;0;1;1;1;300;2000;49196;49507;;;;;;;;0;0;0
24;8;0;1;1;1;300;2000;51199;51507;;;;;;;;0;0;0
25;1;1;1;1;1;300;2000;53215;53524;;53572;53652;;437;80;;0;0;0
26;7;1;1;1;1;300;2000;55216;55524;;55549;55653;;437;104;;0;0;0
27;2;1;1;1;1;300;2000;57231;57540;;;;;;;;1;0;0
28;9;1;1;1;1;300;2000;59233;59541;;59623;59703;;470;80;;0;0;0
29;3;0;1;1;1;300;2000;61248;61557;;;;;;;;0;0;0
30;3;0;1;1;1;300;2000;63249;63557;;;;;;;;0;0;0
31;2;1;1;1;1;300;2000;65265;65574;;;;;;;;1;0;0
32;7;1;1;1;1;300;2000;67266;67574;;67603;67707;;441;104;;0;0;0
33;6;0;1;1;1;300;2000;69281;69590;;69636;69764;;483;128;;0;0;1
34;1;1;1;1;1;300;2000;71283;71590;;71653;71733;;450;80;;0;0;0
35;3;0;1;1;1;300;2000;73284;73591;;;;;;;;0;0;0
36;5;1;1;1;1;300;2000;75299;75607;;75575;75663;;364;88;;0;0;0
37;3;0;1;1;1;300;2000;77301;77607;;;;;;;;0;0;0
38;7;1;1;1;1;300;2000;79311;79616;;79592;79704;;393;112;;0;0;0
39;3;0;1;1;1;300;2000;81311;81615;;;;;;;;0;0;0
40;2;1;1;1;1;300;2000;83322;83632;;83898;84018;;696;120;;0;0;0
41;3;0;1;1;1;300;2000;85326;85632;;;;;;;;0;0;0
42;1;1;1;1;1;300;2000;87340;87648;;87540;87636;;296;96;;0;0;0
43;8;0;1;1;1;300;2000;89350;89665;;;;;;;;0;0;0
44;4;0;1;1;1;300;2000;91357;91665;;;;;;;;0;0;0
45;4;0;1;1;1;300;2000;93358;93665;;93655;93791;;433;136;;0;0;1
46;5;1;1;1;1;300;2000;95363;95665;;95728;95808;;445;80;;0;0;0
47;10;0;1;1;1;300;2000;97373;97682;;;;;;;;0;0;0
48;2;1;1;1;1;300;2000;99374;99685;;99770;99842;;468;72;;0;0;0
49;6;0;1;1;1;300;2000;101389;101698;;;;;;;;0;0;0
50;9;1;1;1;1;300;2000;103392;103699;;103748;103836;;444;88;;0;0;0
51;6;0;1;1;1;300;2000;105406;105715;;;;;;;;0;0;0
52;10;0;1;1;1;300;2000;107407;107715;;;;;;;;0;0;0
53;5;1;1;1;1;300;2000;109423;109732;;109719;109839;;416;120;;0;0;0
54;9;1;1;1;1;300;2000;111429;111732;;111793;111864;;435;71;;0;0;0
